"","rulename","ruledesign"
"515","GRL - Potential Erosion Hazard (Road/Trail)","limitation"
"516","GRL -Range Planting-Mechanical Site Prep (Surface) - MO2","limitation"
"517","ENG - Sanitary Landfill (Area) (OH)","limitation"
"518","FOR - Log Landing Suitability (MI)","limitation"
"519","FOR - Construction Limitations For Haul Roads (Pref.) (MI)","limitation"
"520","FOR - Log Landing Suitability (Pref.) (MI)","limitation"
"521","FOR - Harvest Equipment Operability (Pref.) (MI)","limitation"
"522","ENG - Gravel, bottom layer above restric, sieve (AK)","suitability"
"523","ENG - Gravel, bottom layer above restric, unified (AK)","suitability"
"524","ENG - Sand, bottom layer above restric, unified (AK)","suitability"
"525","ENG - Sand, bottom layer above restric, sieve (AK)","suitability"
"526","Nitrogen Loss Potential (version 1.0)","limitation"
"527","5PRGM - General Crop Production Index (Alpha Test)","suitability"
"528","Sprinkler Irrigation","limitation"
"529","Basin Irrigation (level border)","limitation"
"530","Drip Irrigation","limitation"
"531","Furrow Irrigation","limitation"
"532","Graded Border Irrigation","limitation"
"533","AWM - Poultry Mortality Disposal (Catastrophic) (AR)","limitation"
"534","ENG - Sanitary Landfill (Trench) (OH)","limitation"
"535","ENG - Daily Cover for Landfill (OH)","limitation"
"536","ENG - Lawn and Landscape (OH)","limitation"
"537","AGR - Colorado Vineyard Limitations","limitation"
"538","Old-ENG(MO12-NJ) - Disposal Field","limitation"
"539","ENG - Construction Materials; Roadfill test","suitability"
"540","AGR - Colorado Vineyard Limitations, no FFS Criteria","limitation"
"541","MO16-FOR - Road Suitability (Natural Surface)","limitation"
"542","ENG_MO15: SEPTIC TANK ABSORPTION FIELDS","limitation"
"543","M005-FOR-Chemical Site Preparation","limitation"
"544","MO5-Surface Textures","limitation"
"545","VA - Septic Tank In-Ground Secondary Effluent","limitation"
"546","VA - Septic Tank Shallow-Placed System - Trenchless","limitation"
"547","VA - Septic Tank Sand Mound Effluent","limitation"
"548","VA - Septic Tank Sand Mound Secondary Effluent","limitation"
"549","VA - Septic Tank Spray Irrigation System","limitation"
"550","Prescribed Burning","limitation"
"551","FOR - Potential Seedling Mortality (GA)","limitation"
"552","FOR - Construction Limitations, Haul Roads/Log Landings (GA)","limitation"
"553","FOR - Hand Planting Suitability (GA)","limitation"
"554","FOR - Harvest Equipment Operability (GA)","limitation"
"555","FOR - Log Landing Suitability (GA)","limitation"
"556","FOR - Mechanical Planting Suitability (GA)","limitation"
"557","FOR - Mechanical Site Preparation (Deep) (GA)","limitation"
"558","FOR - Mechanical Site Preparation (Surface) (GA)","limitation"
"559","FOR - Potential Erosion Hazard (Off-Road/Off-Trail) (GA)","limitation"
"560","FOR - Potential Erosion Hazard (Road/Trail) (GA)","limitation"
"561","FOR - Road Suitability (Natural Surface) (GA)","limitation"
"562","FOR - Soil Rutting Hazard (GA)","limitation"
"563","picnic areas cr dbo","limitation"
"564","NEW-AWM - IA-Manure and Food Processing Waste","limitation"
"565","BLM - Inherent Risk of Site Degradation","limitation"
"566","FOR - oldGeneral Harvest Season (VT)","class"
"567","BLM - Inherent Recovery Potential","limitation"
"568","ENG - Construction Materials; Gravel Source (OR) old","suitability"
"569","ENG - Construction Materials; Sand Source (OR) old","suitability"
"570","ENG - Construction Materials; Topsoil (OR) old","suitability"
"571","ENG - Construction Materials; Topsoil (MD)","suitability"
"572","SLC: Rangeland Seeding","limitation"
"573","FOR - Hand Planting Suitability, MO13 (MD)","limitation"
"574","FOR - Mechanical Site Preparation (Surface) (MD)","limitation"
"575","FOR - Mechanical Site Preparation (Deep) (MD)","limitation"
"576","FOR - Mechanical Planting Suitability, MO13 (MD)","limitation"
"577","FOR - Harvest Equipment Operability (MD)","limitation"
"578","mo15 - Septic Tank Absorption Fields","limitation"
"579","MDA Sensitive Soils for Manure Pads (MD)","limitation"
"580","ENG - Construction Materials; Reclamation (MD)","suitability"
"581","SWAtraining: Alabama On-Site Interps","limitation"
"582","WMS-2(OK) - constructing grassed waterways","limitation"
"583","AWM - Land App of Municipal Sewage Sludge (MD)","limitation"
"584","AWM - Irrigation Disposal of Wastewater (MD)","limitation"
"585","CLR-cropland limitation for corn and soybeans","limitation"
"586","CLR-cropland limitation for wheat","limitation"
"587","VA - Septic Tank Shallow-Placed System - Trenched","limitation"
"588","PRGM - GCPI with eroded","limitation"
"589","GSENM: Rangeland Seeding","limitation"
"590","RNG: Rangeland Seeding-AW","limitation"
"591","ENG (MI) - Animal Mortality Disposal (Catastrophic)","limitation"
"592","AGR - California Revised Storie Index (CA)","class"
"593","AWM - Rapid Infil Disposal of Wastewater (MD)","limitation"
"594","ENG - Septic Tank Absorption Fields (MD)","limitation"
"595","IRR-restrictive features for irrigation (OH)","limitation"
"596","WMS - Basin or Paddy Irrigation (level border)","limitation"
"597","WMS - Drip or Trickle Irrigation","limitation"
"598","WMS - Furrow Irrigation","limitation"
"599","WMS - Graded Border Irrigation","limitation"
"600","WMS - Grape Production with Drip Irrigation","limitation"
"601","WMS - Sprinkler Irrigation","limitation"
"602","ENG - Construction Materials; Reclamation (12)","suitability"
"603","FOR - Potential Seedling Mortality (MI)","limitation"
"604","RNG - Fencing, Post Depth =<24 inches","limitation"
"605","RNG - Fencing, Post Depth =<36 inches","limitation"
"606","RNG - Rangeland Chaining","suitability"
"607","RNG - Rangeland Prescribed Burning","suitability"
"608","RNG - Rangeland Disking","suitability"
"609","RNG - Rangeland Planting","suitability"
"610","RNG - Rangeland Roller Chopping","suitability"
"611","FOR - Mechanical Site Preparation (Surface) (MI)","limitation"
"612","FOR - Harvest Equipment Operability (MI)","limitation"
"613","RNG - Rangeland Root Plowing","suitability"
"614","RNG - Rangeland Dozing/Grubbing","suitability"
"615","FOR - Construction Limitations For Haul Roads (MI)","limitation"
"616","RNG - Pipeline Shallow Excavations","limitation"
"617","RNG - Ranch Access Roads","limitation"
"618","ENG - Lawn, landscape, golf fairway (CT)","limitation"
"619","ENG - Lawn, Landscape, Golf Fairway (VT)","limitation"
"620","Gypsum % > 5, 0-200cm - MO8 from 2","limitation"
"621","FOR - Potential Erosion Hazard (Road/Trail) in Butte Co, CA","limitation"
"622","FOR - Potential Erosion Hazard (Off-Road/Trail) in Butte Co","limitation"
"623","FOR - Harvest Equipment Operability in Butte Co, CA","limitation"
"624","FOR - Mechanical Site Preparation (Deep) in Butte Co, CA","limitation"
"625","FOR - Hand Planting Suitability for Butte Co, CA","limitation"
"626","FOR - Mechanical Site Preparation (Surface) in Butte Co, CA","limitation"
"627","FOR - Susceptibility to Soil Degradation by Fire - Butte Co","limitation"
"628","URB/REC - Paths and Trails (MI)","limitation"
"629","URB/REC - Camp Areas (MI)","limitation"
"630","(MI) Small Stones, Surface Layer 2-75mm (25-50%)","limitation"
"631","URB/REC - Picnic Areas (MI)","limitation"
"632","URB/REC - Playgrounds (MI)","limitation"
"633","ENG - Lawn, Landscape, Golf Fairway (MI)","limitation"
"634","ENG - Disposal Field Suitability Class (NJ) old","limitation"
"635","ENG - Disposal Field Type Inst (NJ)","limitation"
"636","FOR - Soil Rutting Hazard (12)","limitation"
"637","ENG (MI) - Sewage Lagoons (to be deleted)","limitation"
"638","FOR - Soil Rutting Hazard with Slope (12)","limitation"
"639","ENG - Secondary Road Surface Material (porcellanite)","limitation"
"640","ENG - Construction Materials; Sand Source (12)","suitability"
"641","ENG - Construction Materials; Roadfill (OH)","suitability"
"642","ENG - Construction Materials; Topsoil (OH)","suitability"
"643","WMS - Embankments, Dikes, and Levees (VT)","limitation"
"644","WMS - Excavated Ponds (Aquifer-fed) (VT)","limitation"
"645","ENG - NC Check - Septic Tank Absorption Fields","limitation"
"646","Septic System Steep Slope Sand Mound (Alternate) (PA)","limitation"
"647","ENG - Construction Materials; Gravel Source (VT)","suitability"
"648","ENG - Construction Materials; Sand Source (VT)","suitability"
"649","FOR - Mechanical Site Preparation; Surface (12)","limitation"
"650","FOR - Mechanical Site Preparation; Deep (12)","limitation"
"651","FOR - Mechanical Planting Suitability (12)","limitation"
"652","Septic System In Ground Bed (conventional) (PA)","limitation"
"653","Septic System Sand Mound Bed or Trench (PA)","limitation"
"654","Septic System Spray Irrigation (PA)","limitation"
"655","Septic System Drip Irrigation (Alternate) (PA)","limitation"
"656","Septic System In Ground Trench (conventional) (PA)","limitation"
"657","Septic System Subsurface Sand Filter Bed (conventional) (PA)","limitation"
"658","Septic System Subsurface Sand Filter Trench (standard) (PA)","limitation"
"659","Septic System At-Grade Bed (Alternate) (PA)","limitation"
"660","Septic System A/B Soil System (Alternate) (PA)","limitation"
"661","Septic System Modified Subsurface Sand Filter (Alt.) (PA)","limitation"
"662","Septic System Shallow Placement Pressure Dosed (Alt.) (PA)","limitation"
"663","Septic System Peat Based Option1 w/At-Grade Bed (Alt.) (PA)","limitation"
"664","Septic System Peat Based Option1 (UV & At-Grade Bed)Alt (PA)","limitation"
"665","Septic System Peat Based Option2 w/Spray Irrigation (PA)","limitation"
"666","Septic System Peat Sys Opt3 w/Subsurface Sand Filter (PA)","limitation"
"667","Septic System Free Access Sand Filterw/Spray Irrigation (PA)","limitation"
"668","Septic System Free Access Sand Filter w/At-Grade Bed (PA)","limitation"
"669","Septic System Free Access Sand Filter w/Drip Irrigation (PA)","limitation"
"670","Septic System CO-OP RFS III w/Spray Irrigation (PA)","limitation"
"671","Septic System CO-OP RFS III w/Drip Irrigation (PA)","limitation"
"672","Septic System CO-OP RFS III w/At-Grade Bed (PA)","limitation"
"673","Mo-T Factor Draft","class"
"674","AGR-Irrigation  NSH620-32 (430-VI-NSSH, 1993)","limitation"
"675","(MI) Humus Any Layer (to be deleted)","limitation"
"676","Pond Building Suitability","suitability"
"677","FOR - Potential Windthrow Hazard (VT)","limitation"
"678","NEIRT - FSG - NR2 - ED","limitation"
"679","ENG - Septic Tank Absorption Fields Potential (MO)","limitation"
"680","NEIRT - FSG - Group1","limitation"
"681","NEIRT - FSG - NR1 - VPD","limitation"
"682","NEIRT - FSG - Group2","limitation"
"683","NEIRT - FSG - Group3","limitation"
"684","NEIRT - FSG - Group4","limitation"
"685","NEIRT - FSG - Group12","limitation"
"686","NEIRT - FSG - Group6","limitation"
"687","NEIRT - FSG - Group9","limitation"
"688","NEIRT - FSG - Group19","limitation"
"689","NEIRT - FSG - Group7","limitation"
"690","NEIRT - FSG - Group10","limitation"
"691","NEIRT - FSG - Group13","limitation"
"692","NEIRT - FSG - Group14","limitation"
"693","NEIRT - FSG - Group5","limitation"
"694","NEIRT - FSG - Group8","limitation"
"695","NEIRT - FSG - Group15","limitation"
"696","NEIRT - FSG - Group16","limitation"
"697","NEIRT - FSG - Group17","limitation"
"698","NEIRT - FSG - Group18","limitation"
"699","NEIRT - FSG - Group11","limitation"
"700","NEIRT - FSG - Group20","limitation"
"701","NEIRT - FSG - NR3 - E slopes","limitation"
"702","WMS - Constructing Grassed Waterways (TX)","limitation"
"703","WMS - Constructing Terraces & Diversions (TX)","limitation"
"704","WMS - Subsurface Drains with Underground Outlets (TX)","limitation"
"705","WMS - Irrigation All Application Methods (TX)","limitation"
"706","WMS - Sprinkler Irrigation v1.0 (TX)","limitation"
"707","WMS - Drip or Trickle Irrigation (TX)","limitation"
"708","WMS - Grape Production with Drip Irrigation (TX)","limitation"
"709","WMS - Furrow Irrigation (TX)","limitation"
"710","WMS - Graded Border Irrigation (TX)","limitation"
"711","WMS - Basin or Paddy Level Border Irrigation (TX)","limitation"
"712","AWM - nutrient filtering capacity (IA)","limitation"
"713","AWM - Land Application of Municipal Sewage Sludge (IA)","limitation"
"714","AWM - Irrigation Disposal of Wastewater (IA)","limitation"
"715","ENG - Construction Materials; Gravel Source (IA)old","suitability"
"716","ENG - Shallow Excavations (IA)","limitation"
"717","ENG - Construction Materials; Gravel Source (MI) (old)","suitability"
"718","ENG - Construction Materials; Gravel Source (WA) old","suitability"
"719","ENG - Construction Materials; Sand Source (WA) old","suitability"
"720","ENG - Construction Materials; Topsoil (WA) old","suitability"
"721","FOR - Log Landing Suitability (WA)","limitation"
"722","FOR - Road Suitability (Natural Surface) (WA)","limitation"
"723","Pipeline Shallow Excavations (NY)","limitation"
"724","FOR - Potential Erosion Hazard (Off-Road/Off-Trail) (MIv-2)","limitation"
"725","FOR - Potential Seedling Mortality (MIv-2)","limitation"
"726","WLF - Grain & Seed Crops for Food and Cover (TX)","limitation"
"727","WLF - Domestic Grasses & Legumes for Food and Cover (TX)","limitation"
"728","WLF - Irrigated Grain & Seed Crops for Food & Cover (TX)","limitation"
"729","WLF - Irr. Domestic Grasses & Legumes for Food & Cover (TX)","limitation"
"730","WLFx - Desertic Herbaceous Plants (TX)","limitation"
"731","WLF - Burrowing Mammals & Reptiles (TX)","limitation"
"732","WLFx - Upland Wild Herbaceous Plants (TX)","limitation"
"733","WLFx - Upland Desertic Shrubs & Trees (TX)","limitation"
"734","WLFx - Upland Shrubs & Vines (TX)","limitation"
"735","WLF - Upland Deciduous Trees (TX)","limitation"
"736","WLF - Upland Coniferous Trees (TX)","limitation"
"737","WLF - Upland Mixed Deciduous & Coniferous Trees (TX)","limitation"
"738","WLF - Riparian Herbaceous Plants (TX)","limitation"
"739","WLF - Riparian Shrubs, Vines, & Trees (TX)","limitation"
"740","WLF - Freshwater Wetland Plants (TX)","limitation"
"741","WLF - Irrigated Freshwater Wetland Plants (TX)","limitation"
"742","WLF - Saline Water Wetland Plants (TX)","limitation"
"743","WLF - Irrigated Saline Water Wetland Plants (TX)","limitation"
"744","WLF - Crawfish Aquaculture (TX)","limitation"
"745","PESTICIDE LOSS POTENTIAL-LEACHING (NJ)","limitation"
"746","PESTICIDE LOSS POTENTIAL-SOIL SURFACE RUNOFF (NJ)","limitation"
"747","Cropland limitation for corn","limitation"
"748","ENG - Dwellings W/O Basements(SOLIM)","limitation"
"749","ENG - Construction Materials; Gravel Source (WI)","suitability"
"750","ENG - Disposal Field (NJ)","limitation"
"751","ENG - Disposal Field Suitability Class (NJ)","limitation"
"752","ENG - Hydrologic Soil Group Generator","class"
"753","Poultry Mortality Disposal (Catastrophic)","limitation"
"754","MO16-Septic Tank Absorption Field (Standard)","limitation"
"755","MO16-Sewage Lagoons","limitation"
"756","MO16-Sanitary Landfill (Trench)","limitation"
"757","MO16-Sanitary Landfill (Area)","limitation"
"758","MO16-Daily Cover for Landfill","limitation"
"759","MO16-Gravel Source","limitation"
"760","MO16-Roadfill","limitation"
"761","MO16-Sand Source","limitation"
"762","MO16-Topsoil","limitation"
"763","MO16-Shallow excavations","limitation"
"764","MO16-Dwellings without basements","limitation"
"765","MO16-Dwellings with basements","limitation"
"766","MO16-Small commercial buildings","limitation"
"767","MO16-Local roads and streets","limitation"
"768","MO-16 Lawns and landscaping","limitation"
"769","MO16-Pond Reservoir Area","limitation"
"770","MO16-Embankments, Dikes and Levees","limitation"
"771","MO16-Drainage","limitation"
"772","MO16-Grasses Waterways","limitation"
"773","MO16-Irrigation","limitation"
"774","MO16-Terraces & Diversions","limitation"
"775","MO16-Disposal of Wastewater by Irrigation","limitation"
"776","MO16-Land Application of Municipal Sewage Sludge","limitation"
"777","MO16-Land Application of Manure and Food Processing Waste","limitation"
"778","MO16-Treatment of Wastewater by Rapid Infiltration","limitation"
"779","MO16-Treatment of Wastewater by Slow Rate Process","limitation"
"780","MO16-Animal Mortality Disposal (Catastrophic)","limitation"
"781","MO16-Hand Planting Suitability","limitation"
"782","MO16-Harvest Equipment Operability","limitation"
"783","MO16-Log Landing Suitability","limitation"
"784","MO16-Mechanical Planting Suitability","limitation"
"785","MO16-Mechanical Site Preparation (Surface)","limitation"
"786","MO16-Potential Erosion Hazard (Off-Road/Off-Trail)","limitation"
"787","MO16-Potential Erosion Hazard (Road/Trail)","limitation"
"788","MO16-Potential Seedling Mortality","limitation"
"789","MO16-Road Suitability (Natural Surface)","limitation"
"790","M016-Soil Rutting Hazard","limitation"
"791","MO16-Domestic Grasses & Legumes (for food and cover)","limitation"
"792","MO16-Freshwater Wetland Plants","limitation"
"793","MO16-Grain and Seed Crops (for use as food and cover)","limitation"
"794","MO16-Irrigated Freshwater Wetland Plants","limitation"
"795","MO16-Riparian Herbaceous Plants","limitation"
"796","MO16-Riparian Shrubs, Vines, & Trees","limitation"
"797","MO16-Upland Deciduous Trees","limitation"
"798","MO16-Upland Mixed Deciduous-Conifer Trees","limitation"
"799","MO16-Upland Shrubs and Vines","limitation"
"800","MO16-Upland Wild Herbaceous Plants","limitation"
"801","MO16-Camp Areas","limitation"
"802","MO16-Paths and Trails","limitation"
"803","MO16-Picnic Areas","limitation"
"804","MO16-Playgrounds","limitation"
"805","AWM - Filter Group (OH)","class"
"806","Missouri - Harvest Equipment Operability","limitation"
"807","Missouri - Component Kind Misc. (null)","limitation"
"808","ENG - Construction Materials; Gravel Source (ID) old","suitability"
"809","ENG - Construction Materials; Sand Source (ID) old","suitability"
"810","ENG - Construction Materials; Topsoil (ID) old","suitability"
"811","FOR - Log Landing Suitability (ID)","limitation"
"812","FOR - Road Suitability (Natural Surface) (ID)","limitation"
"813","WMS - Drip or Trickle Irrigation (OR)","limitation"
"814","WMS - Furrow Irrigation (OR)","limitation"
"815","WMS - Sprinkler Irrigation (OR)","limitation"
"816","WLF - Sucker habitat OR681","limitation"
"817","WLF - Freshwater Wetland Plants OR681","limitation"
"818","Porcellinite road material","limitation"
"819","Rule for concrete corrosion (med and fine text)","class"
"820","AGR - Cropland Productivity (MN)","suitability"
"821","septic field limitations","limitation"
"822","Poultry litter Application","limitation"
"823","AR-Group 1","limitation"
"824","NE - FSG All Groups - draft","limitation"
"825","ENG - Animal Carcass Disposal Trench (TX)","limitation"
"826","MN - Dense Layer 50 to 150cm (20 to 60"")","limitation"
"827","MN Bulk Density > 1.9 (20 to 30"")","limitation"
"828","MN - HYDRIC","limitation"
"829","MN Dense Layer 50 to 150cm (20 to 60"")","limitation"
"830","MINNESOTA - HYDRIC","limitation"
"831","MN BUILDING FOUNDATIONS AND BEDROCK","limitation"
"832","GRL - Fencing, Post Depth Less Than 24 inches (TX)","limitation"
"833","GRL - Fencing, Post Depth Less Than 36 inches (TX)","limitation"
"834","GRL - Excavations to 24 inches for Plastic Pipelines (TX)","limitation"
"835","GRL - Ranch Access Roads (TX)","limitation"
"836","GRL - Rangeland Chaining (TX)","limitation"
"837","GRL - Rangeland Disking (TX)","limitation"
"838","GRL - Rangeland Dozing/Grubbing (TX)","limitation"
"839","GRL - Rangeland Planting by Mechanical Seeding (TX)","limitation"
"840","GRL - Rangeland Prescribed Burning (TX)","limitation"
"841","GRL - Rangeland Roller Chopping (TX)","limitation"
"842","GRL - Rangeland Root Plowing (TX)","limitation"
"843","HORT - Vineyard Suitability","suitability"
"844","AGR - Cropland Productivity (wheat)","suitability"
"845","FOR - GA- Wetland Plants","suitability"
"846","REC - Camp Areas; Primitive (AK)","limitation"
"847","ENG(MO12 CT) Construction Materials; Gravel Source","suitability"
"848","FOR - Potential Seedling Mortality (OH)","limitation"
"849","MIL - Trafficability Veh. Type 1 50-passes wet seaso(oldDOD)","suitability"
"850","MIL - Trafficability Veh. Type 1 dry season (oldDOD)","suitability"
"851","MIL - Trafficability Veh. Type 2 1-pass wet season (oldDOD)","suitability"
"852","MIL - Trafficability Veh. Type 2 50-passes wet seas (oldDOD)","suitability"
"853","MIL - Trafficability Veh. Type 2 dry season (oldDOD)","suitability"
"854","MIL - Trafficability Veh. Type 3 1-pass wet season (oldDOD)","suitability"
"855","MIL - Trafficability Veh. Type 3 50-passes wet seaso(oldDOD)","suitability"
"856","MIL - Trafficability Veh. Type 3 dry season (oldDOD)","suitability"
"857","MIL - Trafficability Veh. Type 4 1-pass wet season (oldDOD)","suitability"
"858","MIL - Trafficability Veh. Type 4 50-passes wet seas (oldDOD)","suitability"
"859","MIL - Trafficability Veh. Type 4 dry season (oldDOD)","suitability"
"860","MIL - Trafficability Veh. Type 5 1-pass wet season (oldDOD)","suitability"
"861","MIL - Trafficability Veh. Type 5 50-passes wet seaso(oldDOD)","suitability"
"862","MIL - Trafficability Veh. Type 5 dry season (oldDOD)","suitability"
"863","MIL - Trafficability Veh. Type 6 1-pass wet season (oldDOD)","suitability"
"864","MIL - Trafficability Veh. Type 6 50-passes wet seaso(oldDOD)","suitability"
"865","MIL - Trafficability Veh. Type 6 dry season (oldDOD)","suitability"
"866","MIL - Trafficability Veh. Type 7 1-pass wet season (oldDOD)","suitability"
"867","MIL - Trafficability Veh. Type 7 50-passes wet seas (oldDOD)","suitability"
"868","MIL - Trafficability Veh. Type 7 dry season (oldDOD)","suitability"
"869","GRL-FSG-NP(W)-copy","class"
"870","IND pond interp19403","limitation"
"871","Byron WMS - Pond Reservoir Area","limitation"
"872","AWC Rule","suitability"
"873","Nitrogen Loss Potential (Version 1.1)","limitation"
"874","ENG - Construction Materials; Reclamation (MI)","suitability"
"875","ENG - Construction Materials; Topsoil (MI)","suitability"
"876","WMS - Sprinkler Irrigation (MT)","limitation"
"877","ENG - Shallow Excavations (MI)","limitation"
"878","WMS - Grape Production with Drip Irrigation (TX)jrf","limitation"
"879","ENG - Construction Materials; Gravel Source (NY)","suitability"
"880","ENG - Construction Materials; Sand Source (NY)","suitability"
"881","(MI) Sandy Surface Layer","limitation"
"882","FOR - Windthrow Hazard (copy)","limitation"
"883","ENG - Construction Materials; Gravel Source (IN)","suitability"
"884","ENG - Construction Materials; Sand Source (IN)","suitability"
"885","ENG - Construction Materials - Sand Source (MN)","suitability"
"886","WMS - Pond Reservoir Area (MI)","limitation"
"887","ENG - Septic Tank Absorption Fields (FL)","limitation"
"888","FOR - Potential Seedling Mortality (FL)","limitation"
"889","Nitrogen Loss Potential (ND)","limitation"
"890","dark: URB/REC - Camp Areas (std copy)","limitation"
"891","dark: ENG - Septic Tank Absorption Fields (std copy)","limitation"
"892","ENG - Septic Tank Absorption Fields (NY)","limitation"
"893","ENG - Septic Tank Absorption Fields-for datareview(FL)","limitation"
"894","ENG - Septic Tank Absorption Fields - Trench (MN) lynn","limitation"
"895","ENG - Septic Tank Absorption Fields - At-Grade (MN) lynn","limitation"
"896","ENG - Septic Tank Absorption Fields - Mound (MN) lynn","limitation"
"897","FOR - Picnic areas","limitation"
"898","WMS - Pond Reservoir Area (VT)","limitation"
"899","NE - FSG All Groups (NJ)","limitation"
"900","ENG - Construction Materials; Roadfill (HI)","suitability"
"901","ENG - Construction Materials; Topsoil (HI)","suitability"
"902","ENG - Dwellings W/O Basements (HI)","limitation"
"903","ENG - Septic Tanks (HI)","limitation"
"904","ENG - Shallow Excavations (HI)","limitation"
"905","ENG - Small Commercial Buildings (HI)","limitation"
"906","URB/REC - Camp Areas (HI) old","limitation"
"907","URB/REC - Lawn, Landscape, Golf Fairway (HI)","limitation"
"908","URB/REC - Paths and Trails (HI)","limitation"
"909","URB/REC - Picnic Areas (HI)","limitation"
"910","URB/REC - Playgrounds (HI)","limitation"
"911","DHS - Rubble and Debris Disposal, Large-Scale Event","limitation"
"912","AWM - Land Application of Dry and Slurry Manure (TX)","limitation"
"913","AGR - Highly Erodible Lands (TX)","limitation"
"914","AWM - Animal Mortality Disposal (Catastrophic) (WI)","limitation"
"915","ENG - Application of Municipal Sludge (TX)","limitation"
"916","DHS - Suitability for Clay Liner Material","suitability"
"917","ENG - Large Animal Disposal, Pit (CT)","limitation"
"918","ENG - Large Animal Disposal, Trench (CT)","limitation"
"919","AWM - Manure Stacking - Site Evaluation (TX)","limitation"
"920","AWM - Phosphorus Management (TX)","limitation"
"921","DHS - Site for Composting Facility - Surface","limitation"
"922","DHS - Site for Composting Facility - Subsurface","limitation"
"923","DHS - Suitability for Composting Medium and Final Cover","suitability"
"924","AGR - Filter Strips (TX)","limitation"
"925","ENG - Septic Tank Absorption Fields (NY) (old)","limitation"
"926","FOR - Soil Rutting Hazard (OH)","limitation"
"927","hort blueberries","limitation"
"928","hort apples","limitation"
"929","AWM - Phosphorus Management revised (TX)","limitation"
"930","AGR - Plant Growth Index PGI with Climate Adj. MAP,MAAT (TX)","suitability"
"931","AGR - Plant Growth Index PGI no Climate Adj. (TX)","suitability"
"932","FOR - Test Soil Rutting Hazard","limitation"
"933","Inland Wetlands (CT)","class"
"934","masscap-SWR Detention Basin","limitation"
"935","ENG - (Test) Septic Tank Absorption Field with weighting","limitation"
"936","mascap-SWR Infiltration trench","limitation"
"937","masscap-SWR Retention Basin","limitation"
"938","ENG - Septic Tank Absorption Fields, revised","limitation"
"939","ENG - Infiltration systems (masscap)","limitation"
"940","ENG - Storm water basins (masscap)","limitation"
"941","ENG - Underground gallery (masscap)","limitation"
"942","DHS - Potential for Radioactive Sequestration","limitation"
"943","ENG - Disposal Field Gravity (DE)","limitation"
"944","DHS - Potential for Radioactive Bioaccumulation","suitability"
"945","MD water comb. Wp and Wr","limitation"
"946","ENG - Perennial wetland systems (masscap)","limitation"
"947","FOR - Mechanical Planting Suitability (OH)","limitation"
"948","ENG - Soil Potential Ratings SSDS (CT) Finn","class"
"949","AGR - Rangeland Grass/Herbaceous Productivity Index (TX)","limitation"
"950","ENG - Construction Materials; Sand Source (CT)","suitability"
"951","FOR - Soil Rutting Hazard with Slope (CT)","limitation"
"952","FOR - Soil Rutting Hazard (CT)","limitation"
"953","FOR - Mechanical Site Preparation; Surface (CT)","limitation"
"954","FOR - Mechanical Site Preparation; Deep (CT)","limitation"
"955","FOR - Mechanical Planting Suitability (CT)","limitation"
"956","REC - Camp Areas (CT)","limitation"
"957","REC - Off-Road Motorcycle Trails (CT)","limitation"
"958","REC - Paths and Trails (CT)","limitation"
"959","REC - Picnic Areas (CT)","limitation"
"960","REC - Playgrounds (CT)","limitation"
"961","ENG - test Perennial wetland systems (masscap)","limitation"
"962","Masscap-Stormwater wetland systems","limitation"
"963","URB/REC - Picnic Areas test (HI)","limitation"
"964","URB/REC - Paths and Trails test (HI)","limitation"
"965","URB/REC - Lawn, Landscape, Golf Fairway test (HI)","limitation"
"966","ENG - Construction Materials Test; Topsoil (HI)","suitability"
"967","VT Streambank Erosion Hazard 3","limitation"
"968","DHS - Catastrophic Mortality, Large Animal Disposal, Pit","limitation"
"969","DHS - Catastrophic Mortality, Large Animal Disposal, Trench","limitation"
"970","hort strawberries","limitation"
"971","WMS - Micro-Irrigation, Subsurface Drip (TX)","limitation"
"972","ENG - Septage Application - Surface (MN) lynn","limitation"
"973","ENG - Septage Application - Incorporation or Inject(MN)lynn","limitation"
"974","AGR - No Till (TX)","suitability"
"975","ENG - Catastrophic Mortality, Large Animal Disposal Tr (IA)","limitation"
"976","AWM - Manure and Food Processing Waste (IA)","limitation"
"977","AGR - Rutting Hazard > 10,000 Pounds per Wheel (TX)","suitability"
"978","AGR - Rutting Hazard =< 10,000 Pounds per Wheel (TX)","suitability"
"979","WLF - Desert Tortoise (NPS) OLD","limitation"
"980","ENG - (Test) Septic Tank Absorption Field","limitation"
"981","AGR - No Till, Tile Drained (TX)","suitability"
"982","WLF - Burrowing Mammals & Reptiles (AZ)","limitation"
"983","ENG - Sewage Sludge Application - Surface (MN)","limitation"
"984","ENG - Sewage Sludge Application - Incorp. or Inject. (MN)","limitation"
"985","WLF - Shallow water areas (IN)","limitation"
"986","AWC Rule Light","suitability"
"987","Gravity Full Depth Septic System (DE)","limitation"
"988","Ephemeral Gully Hazard","limitation"
"989","CLR-pastureland limitation (IN)","limitation"
"990","Capping Fill Gravity Septic System (DE)","limitation"
"991","Elevated Sand Mound Septic System (DE)","limitation"
"992","Low Pressure Pipe Septic System (DE)","limitation"
"993","Pressure Dose Full Depth Septic System (DE)","limitation"
"994","Pressure Dose Capping Fill Septic System (DE)","limitation"
"995","MA-Infiltration Systems / don't use","limitation"
"996","BLM - Chaining Suitability","suitability"
"997","AGR - Water Erosion Potential (TX)","limitation"
"998","WMS - Drainage (IL)","limitation"
